Year,"Foreign direct investment, net inflows (BoP, current million US$)",GDP (current million US$),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, female (years)","Literacy rate, youth total (% of people ages 15-24)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","Population, total (million people)",Rural population,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, male (% gross)",Urban population (% of total population),Electricity consumption (GWh)-1
2009,331.473910250358,16248.2128522153,1317.23568742745,7.5,65.088,63.3523902893066,100.0,12.335084,6986715.0,11.2641401290894,83.8946304321289,72.1801,68.97246,36.2578563690186,43.359,1931.999999999996
2010,272.092888456612,16230.8879784993,1280.22546972155,8.0,65.829,64.56645011901855,100.0,12.678148,7128542.0,12.7255601882935,84.0348815917969,73.6628,69.52928,38.6748313903809,43.773,2372.999999999997
2011,338.66199557934704,17902.207621624802,1373.52078902067,9.8,66.521,65.7805099487305,100.0,13.033809,7274429.0,13.5211896896362,86.9881286621094,74.60177,69.92345,43.1687088012695,44.188,2572.0
2012,276.159533004474,17824.3984688858,1329.98137880303,10.8,67.152,61.36175918579104,100.0,13.401991,7424301.0,14.2036800384521,86.8044586181641,77.19371,71.40988,46.6852912902832,44.603,2656.0000000000027
2013,311.36676881942395,18965.5721502913,1376.06981577192,13.1,67.717,56.9430084228516,100.0,13.78242,7577712.0,14.9982995986938,84.5947265625,76.11761,70.30544,48.8939514160156,45.019,2887.9999999999995
2014,403.098056387863,19797.2546431212,1396.65822533925,17.7,68.21,60.07685852050785,100.0,14.174731,7734300.0,15.0774202346802,85.5735015869141,76.84509,70.70987,50.3610801696777,45.436,2967.999999999999
2015,409.16612581491,17774.766636045897,1219.24866243037,27.0,68.634,63.210708618164105,100.0,14.578459,7892486.0,15.3767404556274,84.9339828491211,77.2763,70.49687,48.97047424316404,45.862,3250.9999999999964
2016,472.409799846776,19040.3128151337,1269.90210810516,25.66476804,68.999,66.34455871582036,100.0,14.993528,8052124.0,15.761880159378023,84.21895027160645,77.25883,69.89549,47.57986831665038,46.296,3470.83333333333
2017,588.292997958708,20996.5647515994,1361.69958778497,29.64312367,69.324,69.4784088134766,100.0,15.419381,8212362.0,16.14701986312865,83.5039176940918,79.59276,71.27036,46.18926239013672,46.74,3653.805555555552
2018,847.841574790216,23236.007428258203,1465.59100640191,29.64312367,69.627,69.4784088134766,100.0,15.85436,8372370.0,16.532159566879276,82.78888511657715,79.59276,71.27036,44.79865646362306,47.192,3834.106481481477
2019,983.3381540313,23578.084052014703,1446.83096499408,29.64312367,69.918,69.4784088134766,100.0,16.296364,8530658.0,16.9172992706299,82.0738525390625,79.59276,71.27036,43.4080505371094,47.653,4030.4575617283895
2020,1095.333384899946,24346.83603563527,1458.62448986444,32.400310948333335,70.28483333333334,71.5676422119141,100.0,16.715354666666666,8689482.333333334,17.237132549285917,81.65370686848958,80.17195166666667,71.43118,42.49373372395837,48.092,4220.867155349788
