Year,Agricultural land (sq. km),Cereal yield (kg per hectare),Forest area (% of land area),Permanent cropland (% of land area),"Foreign direct investment, net inflows (BoP, current million US$)",GDP (current million US$),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, female (years)","Literacy rate, youth total (% of people ages 15-24)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","Population, total (million people)",Rural population,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, male (% gross)",Urban population (% of total population),Electricity consumption (GWh)-1_x,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kt),CO2 intensity (kg per kg of oil equivalent energy use),Electric power consumption (kWh per capita),Electric power transmission and distribution losses (% of output),Electricity consumption (GWh),Electricity production from hydroelectric sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy intensity level of primary energy (MJ/$2011 PPP GDP),Power outages in firms in a typical month (number),Renewable energy consumption (% of total final energy consumption),Electricity consumption (GWh)-1_y
2010,94580.0,1196.5,43.9835869734587,0.301251752973563,272.092888456612,16230.8879784993,1280.22546972155,8.0,65.829,64.56645011901855,100.0,12.678148,7128542.0,12.7255601882935,84.0348815917969,73.6628,69.52928,38.6748313903809,43.773,2372.999999999997,35.2508365489847,83.7948303222656,0.47715836682868,7744.704,2.02145776557867,202.868747075677,16.3849154746424,2572.0,8.22496749024707,83.6475942782835,86.3784135240572,77000000.0,5.66028067982968,18.261574074074073,50.2604668379306,2372.999999999997
2011,89650.0,966.9,43.7758271438217,0.337609723160027,338.66199557934704,17902.207621624802,1373.52078902067,9.8,66.521,65.7805099487305,100.0,13.033809,7274429.0,13.5211896896362,86.9881286621094,74.60177,69.92345,43.1687088012695,44.188,2572.0,31.7188668004045,87.8,0.508155123764213,8368.094,2.06265998807476,203.777729135052,15.7092986353539,2656.0000000000027,8.15614090764837,84.0050777530943,86.0361789907966,80000000.0,5.88999398875465,21.305169753086417,48.6553646989562,2572.0
2012,89650.0,1221.3,43.5680673141848,0.337609723160027,276.159533004474,17824.3984688858,1329.98137880303,10.8,67.152,61.36175918579104,100.0,13.401991,7424301.0,14.2036800384521,86.8044586181641,77.19371,71.40988,46.6852912902832,44.603,2656.0000000000027,32.5339602749044,86.2658615112305,0.457148735302451,7913.386,1.96608647625569,215.490370050241,16.2898550724638,2887.9999999999995,8.40579710144928,82.6666666666667,86.7246376811594,49000000.0,5.59665678870864,24.85603137860082,50.369745509563,2656.0000000000027
2013,88680.0,1124.1,43.3603074845479,0.353191710382797,311.36676881942395,18965.5721502913,1376.06981577192,13.1,67.717,56.9430084228516,100.0,13.78242,7577712.0,14.9982995986938,84.5947265625,76.11761,70.30544,48.8939514160156,45.019,2887.9999999999995,31.7806453451913,87.8,0.473857135707618,8434.1,2.27226988017246,215.346796861509,16.6526256669475,2967.999999999999,8.64925582701488,83.6001123279977,87.7843302443134,63000000.0,4.98734553924782,15.42801568930041,43.5938292712968,2887.9999999999995
2014,88720.0,1111.5,43.1525476549109,0.373967693346491,403.098056387863,19797.2546431212,1396.65822533925,17.7,68.21,60.07685852050785,100.0,14.174731,7734300.0,15.0774202346802,85.5735015869141,76.84509,70.70987,50.3610801696777,45.436,2967.999999999999,41.0149536480354,85.0,0.494126465683151,9376.519,2.36916291767893,229.351795106376,12.8667563930013,3250.9999999999964,8.64064602960969,83.606998654105,87.7792732166891,66000000.0,5.05682074257146,6.0,43.3570635809297,2967.999999999999
2015,88730.0,1376.1,42.944787825274,0.379161689087415,409.16612581491,17774.766636045897,1219.24866243037,27.0,68.634,63.210708618164105,100.0,14.578459,7892486.0,15.3767404556274,84.9339828491211,77.2763,70.49687,48.97047424316404,45.862,3250.9999999999964,38.1357300855523,86.9,0.527045400531701,10637.967,2.493193373940985,240.754268799325,9.918956026677883,3470.83333333333,8.64728192161821,83.6156763590392,87.787610619469,70000000.0,4.97676680174836,4.763888888888889,42.7117516284132,3250.9999999999964
2016,88780.0,1228.9,42.737027995637,0.405131667792032,472.409799846776,19040.3128151337,1269.90210810516,25.66476804,68.999,66.34455871582036,100.0,14.993528,8052124.0,15.761880159378023,84.21895027160645,77.25883,69.89549,47.57986831665038,46.296,3470.83333333333,44.5002368567598,87.7,0.507847048406661,10901.991,2.699327633575784,248.81696391349766,8.74379719324223,3653.805555555552,8.69474703311721,83.14761028918466,87.72911931730212,72833333.33333333,4.841885407162091,2.9490740740740744,41.17061570970688,3470.83333333333
2017,88780.0,1275.0,42.5292681660001,0.405131667792032,588.292997958708,20996.5647515994,1361.69958778497,29.64312367,69.324,69.4784088134766,100.0,15.419381,8212362.0,16.14701986312865,83.5039176940918,79.59276,71.27036,46.18926239013672,46.74,3653.805555555552,35.3725475569635,91.7,0.5129618286696578,11428.2055,2.8123059449086365,256.4750000531344,7.470277479675535,3834.106481481477,8.773043623595566,83.06427962433484,87.9542369495096,72138888.88888888,4.705486195050827,0.39699074074074137,39.655640521669596,3653.805555555552
2018,88780.0,1301.9,42.3215083363632,0.405131667792032,847.841574790216,23236.007428258203,1465.59100640191,29.64312367,69.627,69.4784088134766,100.0,15.85436,8372370.0,16.532159566879276,82.78888511657715,79.59276,71.27036,44.79865646362306,47.192,3834.106481481477,41.4245542182202,93.5,0.5137629461538986,11938.224083333334,2.9372469377142827,265.25787853948145,6.0971072870624745,4030.4575617283895,8.875860742920098,82.90747993620826,88.27391327596177,70828703.7037037,4.508068229433523,3.087705761316871,38.15568649212183,3834.106481481477
2019,88635.0,1315.3333333333335,42.11374850672627,0.41638532523069954,983.3381540313,23578.084052014703,1446.83096499408,29.64312367,69.918,69.4784088134766,100.0,16.296364,8530658.0,16.9172992706299,82.0738525390625,79.59276,71.27036,43.4080505371094,47.653,4030.4575617283895,47.8238389582609,95.2,0.5231986479624732,12609.030430555556,3.0991070146240483,273.55246328768817,4.398315989495587,4220.867155349788,8.954204683165234,82.94761548113186,88.5321258750955,74466820.98765431,4.32663680288767,7.744995284636486,36.12000998921497,4030.4575617283895
